id,rms,kurtosis,crest_factor,skewness,temperature,speed,fault,fault_diameter
1,0.082,2.84,3.21,-0.12,38.2,1797,Normal,0.0
2,0.084,2.91,3.18,-0.09,38.5,1796,Normal,0.0
3,0.081,2.81,3.25,-0.15,38.1,1797,Normal,0.0
4,0.083,2.87,3.20,-0.10,38.4,1796,Normal,0.0
5,0.085,2.90,3.19,-0.11,38.6,1795,Normal,0.0
6,0.082,2.85,3.22,-0.13,38.3,1797,Normal,0.0
7,0.080,2.80,3.24,-0.14,38.0,1798,Normal,0.0
8,0.083,2.88,3.20,-0.10,38.3,1797,Normal,0.0
9,0.084,2.89,3.18,-0.08,38.5,1796,Normal,0.0
10,0.082,2.83,3.23,-0.12,38.2,1797,Normal,0.0
11,0.185,4.72,4.89,0.34,42.1,1772,Inner_Race,0.007
12,0.190,4.85,4.95,0.36,42.5,1770,Inner_Race,0.007
13,0.182,4.68,4.82,0.31,41.9,1773,Inner_Race,0.007
14,0.188,4.80,4.92,0.35,42.3,1771,Inner_Race,0.007
15,0.192,4.90,4.98,0.38,42.7,1769,Inner_Race,0.007
16,0.184,4.70,4.85,0.33,42.0,1772,Inner_Race,0.007
17,0.180,4.65,4.80,0.30,41.8,1774,Inner_Race,0.007
18,0.187,4.78,4.90,0.34,42.2,1771,Inner_Race,0.007
19,0.191,4.88,4.96,0.37,42.6,1770,Inner_Race,0.007
20,0.183,4.69,4.84,0.32,42.1,1772,Inner_Race,0.007
21,0.320,7.12,6.45,0.68,48.4,1750,Outer_Race,0.014
22,0.325,7.25,6.52,0.72,48.9,1748,Outer_Race,0.014
23,0.315,7.05,6.38,0.65,48.1,1752,Outer_Race,0.014
24,0.322,7.18,6.48,0.69,48.6,1749,Outer_Race,0.014
25,0.328,7.32,6.58,0.75,49.1,1747,Outer_Race,0.014
26,0.318,7.10,6.42,0.67,48.3,1751,Outer_Race,0.014
27,0.312,6.98,6.35,0.63,48.0,1753,Outer_Race,0.014
28,0.321,7.16,6.46,0.68,48.5,1750,Outer_Race,0.014
29,0.326,7.28,6.54,0.73,49.0,1748,Outer_Race,0.014
30,0.319,7.11,6.44,0.66,48.2,1751,Outer_Race,0.014
31,0.245,5.85,5.62,0.48,45.3,1761,Ball,0.021
32,0.250,5.98,5.70,0.52,45.7,1759,Ball,0.021
33,0.242,5.78,5.55,0.45,45.0,1762,Ball,0.021
34,0.247,5.90,5.65,0.49,45.5,1760,Ball,0.021
35,0.252,6.02,5.75,0.54,45.9,1758,Ball,0.021
36,0.244,5.82,5.58,0.47,45.2,1761,Ball,0.021
37,0.240,5.75,5.52,0.43,44.9,1763,Ball,0.021
38,0.246,5.88,5.63,0.48,45.4,1760,Ball,0.021
39,0.251,6.00,5.72,0.53,45.8,1759,Ball,0.021
40,0.243,5.80,5.56,0.46,45.1,1762,Ball,0.021
